Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2023-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Region,IncomeGroup,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,SpecialNotes
Cyprus,CYP,Europe & Central Asia,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,5441.301,5967.627,6394.524,6667.186,6922.659,6808.107,7198.366,7280.19,7610.009,7887.73,8154.548,8071.954,8299.419,8972.065,8914.801,9024.705,9162.994,9493.572,9709.289,9538.053,9208.665,8960.972,8444.283,7739.793,8137.045,8213.804,8598.437,8737.908,8557.982,8540.523,,,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
Czechia,CZE,Europe & Central Asia,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,181964.6,165257.7,160841.6,156184.9,148889.4,148823.9,150428.8,147951.3,141351.3,133273.6,144098.9,143803.8,138192.2,142543.7,143085.8,140016.7,141015.1,143974.6,138937.3,131316.9,132750.8,129986.5,127305.8,121545.9,118143.8,120462.2,122982.2,122585.6,121214.8,116590.9,,,,
Germany,DEU,Europe & Central Asia,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,1128088,1100764,1055378,1046884,1037322,1032965,1063072,1025932,1002897,965059.9,957533.5,976266.9,960146.4,961378.7,944896.7,922926.9,931728.3,903290.5,906160.3,849687.7,880164.4,850464.2,863675.4,880052.1,839192.2,843880.5,846936.8,829682.4,800955.1,749708.7,,,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 Deutsche Mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Djibouti,DJI,Middle East & North Africa,Lower middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,911.759,933.065,954.29,971.958,984.42,1053.549,1068.695,1117.978,1199.607,1233.639,1221,1229.591,1256.828,1276.652,1268.393,1307.206,1305.723,1349.268,1358.367,1356.108,1414.45,1376.798,1408.744,1481.727,1332.491,1400.833,1356.475,1362.306,1355.53,1379.019,,,,
Dominica,DMA,Latin America & Caribbean,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,187.658,188.849,207.934,201.672,205.531,209.003,180.014,195.271,190.981,188.194,199.004,219.118,184.389,199.069,215.428,224.182,233.889,245.954,248.026,566.753,245.605,244.23,312.963,237.86,245.134,247.817,248.45,232.064,231.859,234.591,,,,
Denmark,DNK,Europe & Central Asia,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,68842.58,79665.72,73460.5,76087.92,79722.21,76565.7,90059.61,80390.38,76354.82,73508.96,69713.04,71420.47,70739.94,76260.4,70056.85,66341.81,74072.05,69284.09,65765.81,62875.81,63159.31,57738.72,52649.86,54075.94,49889.77,47880.15,49422.56,47111.27,46575.48,43200.04,,,,
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,15760.63,16875.04,18349.26,18844.59,20823.21,21327.97,22233.02,23888.38,25843.33,26440.85,27147.79,27952.68,30390.63,28053.08,27343.4,28593.16,30585.65,31781.46,31936.61,31417.87,32773.29,33166.72,33969.18,33736.59,34091.51,36494.28,37772.53,37024.16,39201.56,41315.43,,,,
Algeria,DZA,Middle East & North Africa,Lower middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,120744.8,124917,125871.2,134356.9,136298.1,143246.7,146300.4,146237.5,148498.5,153952.7,162622.8,159300.6,165037.9,177644.3,180578.4,188015.3,195857.3,198832,204350.5,206662.3,209872.4,215751.9,235433.4,240073.2,253509.9,263142.9,265356.8,268897.1,278029.9,282008.2,,,,
East Asia & Pacific (excluding high income),EAP,,,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,4399512.766,4587873.655,4745391.043,5018246.243,5224865.924,5708725.568,5789756.084,5834540.236,5935290.026,5928368.688,6154954.108,6384301.307,6724874.616,7438790.714,8294786.797,9095180.455,9817162.89400001,10480776.529,10770578.678,11350735.354,12266828.826,13208995.927,13543423.367,14053229.825,14204834.311,14154106.379,14181882.438,14533142.598,15122197.973,15499418.049,,,,
Early-demographic dividend,EAR,,,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,5323015.885,5521791.199,5613684.468,5765164.453,5940478.669,6151235.249,6381628.127,6590809.575,6739907.239,6899010.823,7107550.231,7209154.243,7341914.218,7586220.252,7881457.232,8155634.821,8491896.529,8853058.02,9114847.286,9256828.42,9598516.048,9861298.381,10231344.934,10313787.307,10678716.28,10770331.768,10957825.137,11322490.243,11537284.713,11592651.821,,,,Early-dividend countries are mostly lower-middle-income countries further along the fertility transition. Fertility rates have fallen below four births per woman and the working-age share of the population is likely rising considerably.
East Asia & Pacific,EAS,,,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,6456025.47,6691057.808,6891514.936,7197702.584,7501628.289,8044457.304,8167857.132,8235948.415,8251009.366,8348287.276,8679224.793,8933344.385,9294433.286,9944453.907,10873933.87,11632552.327,12387578.701,13099969.865,13309204.699,13856946.502,14858815.532,15988510.725,16370242.979,16806332.414,16923032.628,16858437.867,16866576.185,17271055.472,17817671.327,18110166.068,,,,East Asia and Pacific regional aggregate (includes all income levels).
Europe & Central Asia (excluding high income),ECA,,,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,5235252.516,5074262.226,4736590.844,4371950.281,3936280.827,3800511.882,3674403.623,3494580.326,3477821.384,3479011.832,3569023.972,3562576.651,3613094.532,3752826.92,3762478.834,3799018.339,3914766.383,3984554.156,4040743.235,3763370.441,3935284.764,4120105.22,4093802.464,4059082.922,3974406.551,3903244.745,3959521.756,4045485.068,4161492.985,4199856.294,,,,
Europe & Central Asia,ECS,,,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,10447674.813,10245128.879,9755492.798,9301032.253,8853661.826,8762659.064,8769430.469,8497630.977,8450973.404,8362256.522,8451460.386,8499302.756,8519148.766,8755360.692,8764538.982,8767245.918,8880681.322,8895983.249,8843032.64,8244302.322,8510892.102,8531798.854,8469956.188,8346248.639,8068479.257,8036439.403,8080286.174,8160965.274,8186908.596,8065991.303,,,,Europe and Central Asia regional aggregate (includes all income levels).
Ecuador,ECU,Latin America & Caribbean,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,36944.11,37637.52,40129.85,41719.6,44912.32,47388.97,51467.35,53359.91,51680.16,48824.04,48124.33,53253.45,52920.62,54065.56,58100.7,59849.51,62354.31,62023.2,63757.18,67266.49,70842.84,70989.68,70845.77,73929.24,75576.25,74092.07,72796.68,71504.86,72672.14,72528.4,,,,
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,134060,139637.6,142390.4,147887.5,144169.2,153792.9,161560.1,170417,176157.9,186073.8,185767.9,199345.2,204770.6,209928.8,223167.4,244429.5,255398.2,270758.9,280232.8,287560.3,289948.5,297747.7,308462.3,305402.4,311166.2,317375,325472.7,338426.6,344822.8,351774.9,,,,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30) for the years 1980 and after. The data from 1973 to 1979 refer to the calendar year data. Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1965-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
Euro area,EMU,,,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,3284240.528,3290434.573,3203931.107,3144217.386,3145146.028,3195526.375,3265309.957,3233489.451,3257276.776,3227464.246,3241173.391,3279775.958,3283970.167,3337366.603,3347117.116,3330014.923,3305648.46,3274590.489,3205706.15,2995826.806,3050560.188,2948167.067,2918280.47,2868899.794,2742776.642,2787646.735,2781831.217,2778253.95,2704625.333,2588948.153,,,,Euro area aggregate.
Eritrea,ERI,Sub-Saharan Africa,Low income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,3688.301,3699.997,4417.517,3993.685,4182.766,4302.809,4844.317,5341.969,5287.992,5450.916,5545.459,5275.57,5221.13,5367.503,5383.635,5398.072,5163.827,5488.205,5428.816,5477.649,5388.05,5682.358,5767.611,5841.934,5888.083,5927.944,6015.008,6092.985,6278.066,6332.812,,,,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1992-1997. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
Spain,ESP,Europe & Central Asia,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,275607.1,281702,291545.1,276742.5,289652.2,303376,296700.6,317951.1,327475.1,352142.7,369365.1,367789.9,384449.2,393427.2,409542.2,424157.4,418145.9,434486.4,401187.8,364432.1,349265.8,348735.1,342354.2,315993.3,314694.3,325275.6,315702.7,332224.7,324881,306947,,,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Estonia,EST,Europe & Central Asia,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,39519.51,35639.35,27723.34,21870.06,20926.77,19246.46,20099.25,19630.59,19073.87,18082,17681.9,18123.16,17681.02,19668.52,19807.83,19952.22,18715.75,22767.01,21199.74,17759.64,21776.85,20907.32,19663.06,22102.77,20748.59,18362.75,18686.55,19440.78,18029.48,12873.96,,,,"The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
Ethiopia,ETH,Sub-Saharan Africa,Low income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,67454.96,67852.75,68693.12,62805.29,63972.56,64808.29,68072.02,70229.61,76071.45,75643.4,72741.94,76539.6,85842.47,83989.57,86140.76,89439.89,94360.34,104241.7,108345.6,112798.4,117495.9,117076.2,122610.6,127196.1,133501.9,136858.6,142829.5,146533.1,148515.7,150963.1,,,,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: July 7). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
European Union,EUU,,,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,4463942.518,4396982.383,4257090.307,4184958.706,4170665.458,4223575.645,4334362.657,4259078.281,4224785.306,4149962.176,4152426.541,4199039.448,4185709.947,4275185.003,4277751.806,4250226.103,4250960.05,4217680.839,4126259.44,3855462.276,3934078.498,3825181.057,3763846.43,3684666.124,3537810.272,3594651.075,3599125.117,3613085.24,3529448.363,3383431.693,,,,European Union aggregate.
Fragile and conflict affected situations,FCS,,,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,2042719.84,2000374.717,1962367.752,1927645.829,1947466.049,1974662.512,1973568.832,2000609.284,1983668.595,1953167.602,2005081.907,2020592.255,2021447.759,2063556.045,2094286.895,2144384.965,2154118.282,2168825.304,2218818.505,2164566.918,2270576.155,2247369.574,2343090.148,2359387.978,2333225.052,2263274.467,2312015.192,2327654.912,2361982.359,2353723.16,,,,"Fragile and conflict-affected situations aggregate. Countries are distinguished based on the nature and severity of issues they face. The classification uses the following categories: - Countries with high levels of institutional and social fragility, identified based on publicly available indicators that measure the quality of policy and institutions and manifestations of fragility. - Countries affected by violent conflict, identified based on a threshold number of conflict-related deaths relative to the population. This category includes two sub-categories based on the intensity of violence: countries in high-intensity conflict and countries in medium-intensity conflict. For more information, please visit https://www.worldbank.org/en/topic/fragilityconflictviolence/brief/harmonized-list-of-fragile-situations."
Finland,FIN,Europe & Central Asia,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,69661.51,69554.01,66445.74,67689.06,74334.65,70345.75,76795.3,74877.96,71225.84,70373.51,68858.78,74643.96,77008.72,85141.54,81133.9,68916.18,80322.14,78466.14,70348.8,66677.51,74804.83,66774.16,61113.72,61883.47,57822.68,54346.07,57028.08,54159.12,55490.25,51478.64,,,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Fiji,FJI,East Asia & Pacific,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,1713.39,1721.557,1762.773,1821.331,1869.343,1935.254,1979.295,1962.553,1924.69,1908.293,1945.449,2213.924,2044.083,2154.882,2619.849,2428.852,2514.469,2409.816,2132.389,2113.04,2303.292,2259.444,2184.031,2296.827,1879.462,2001.406,2137.37,2325.697,2300.599,2380.337,,,,
France,FRA,Europe & Central Asia,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,495849.9,520919.2,506336.6,487345.4,481650.2,490362.3,510103.4,500772.7,516823.3,507635.8,506031.6,511206.8,504279.9,509462.5,507745.7,509039.4,499199.8,492475.7,486457.8,468656.9,472620.6,456715.7,460299.2,461266.6,427768.8,433224.3,433601.6,436177.2,422743.6,414036,,,,"The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Faroe Islands,FRO,Europe & Central Asia,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,7.617,7.835,114.451,116.267,124.063,180.505,182.483,188.258,193.988,194.255,198.818,215.883,205.908,220.696,224.748,229.208,209.53,204.732,187.273,203.54,181.041,190.708,202.379,212.951,218.554,226.005,253.655,257.503,258.654,261.04,,,,Fiscal year ends on September 30; reporting period for national accounts data: FY. The source for national accounts data is the Pacific and Virgin Islands Training Initiative.
Gabon,GAB,Sub-Saharan Africa,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,10233.12,11249.96,11218.45,11546.23,12305.57,13491.69,14432.69,14255.74,15346.09,14335.84,13884.85,13981.6,13371.98,14554.58,14131.61,13865.08,12663.84,11989.67,12681.48,12382.23,13261.09,13247.73,12877.94,13103.85,13452.89,13898.54,14302.74,12863.78,12392.69,13169.28,,,,
United Kingdom,GBR,Europe & Central Asia,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,746347.1,755151.3,737292.7,718741.8,715941.7,708036.8,729556.5,709653.4,707370.3,683413,685565.5,694260.2,676113,685036.2,679870.5,673968,670485,655184.1,634809.6,578809.9,591320.6,548391.8,568538.6,551155.7,511661.1,496302.7,476539.7,461611.7,453433.5,440082.7,,,,
Georgia,GEO,Europe & Central Asia,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,49764.18,40311.91,32649.88,27124.47,19964.02,16902.43,15384.05,14567.08,14082.66,13830.49,14245.24,11788.71,11230.14,11755.45,11831.4,12381.26,12740.83,13507.82,12609.97,13366.68,13061.4,14453.16,15341.73,16224.96,16825.49,17145.69,17583.01,17456.88,17142.1,17598.6,,,,"Includes self-governed areas only, which mostly exclude Abkhazia and South Ossetia, but small areas in Abkhazia and South Ossetia are included before 2008 or 2009 because of the changes in self-governed areas."
Ghana,GHA,Sub-Saharan Africa,Lower middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,11897.85,11977.65,12507.42,12726.72,13064.58,13412.39,14334.5,15262.37,17979.52,17374.09,17631.25,16921.14,18176.9,18676.76,17519.84,19762.23,20942.8,21176.91,20980.61,22167.38,23954.67,25950.33,28536.84,30602.02,30140.48,31605.39,32092,34203.9,35832.27,37651.57,,,,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1974-1987. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
Gibraltar,GIB,Europe & Central Asia,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The DEC conversion is not reported when national accounts data are unavailable.
Guinea,GIN,Sub-Saharan Africa,Low income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,8409.041,8725.198,9054.501,9413.61,9827.159,10239.75,9703.303,10009.77,11018.92,10790.05,11466.72,12388,13534.85,13672.55,13708.71,15146.02,15445.38,15851.34,16427.3,16936.21,19231.26,20515.97,21769.86,21840.22,22355.96,22848.4,25739.56,26301.31,26617.96,28331,,,,
"Gambia, The",GMB,Sub-Saharan Africa,Low income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,4285.868,4442.588,4553.047,4673.221,4207.051,3734.066,3464.678,3118.492,2875.145,2553.214,2288.409,2070.691,1849.117,1754.574,1664.318,1528.041,1617.21,1669.487,1811.365,2169.044,2212.07,1899.965,1984.118,2051.141,2190.106,2347.819,2238.794,2269.745,2130.867,2337.244,,,,
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,1415.002,1424.206,1461.746,1493.887,1517.565,1549.081,1471.912,1460.546,1438.208,1568.841,1535.734,1823.195,1872.354,1918.305,1837.891,1776.557,1952.35,1978.041,1892.2,2019.01,2109.899,2110.007,2287.485,2249.133,2246.454,2377.487,2391.738,2436.227,2539.441,2579.344,,,,
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,174.311,315.212,2072.949,2246.086,2411.119,2592.434,2934.102,4464.289,5645.499,7297.191,6861.406,9360.77,10150.05,11419.51,13654.15,16099.02,17087.71,16180.86,17111.87,16157.48,16549.61,15908.98,15637.19,14720.14,16293.56,14268.23,13850.53,12421.55,12959.78,11406.76,,,,
Greece,GRC,Europe & Central Asia,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,95216.71,95287.62,97362.47,97724.41,100346.2,104768.8,105849.5,106922.4,110933.2,112040.7,117812.9,118385.6,118774.9,122108.4,121746.9,123837.2,122178.7,125640.6,121741.6,114963.9,108252.2,105914.5,100931.9,93271.11,90187.28,88451.58,87158.64,86770.42,84063.15,78502.91,,,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Grenada,GRD,Latin America & Caribbean,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,1840.597,1859.398,1917.451,1912.781,1932.005,1959.871,1992.132,2019.094,2055.962,2070.659,2069.292,2097.777,2127.515,2145.508,2138.641,2162.343,2187.001,2212.354,2238.55,2764.637,2255.916,2285.179,2402.194,2317.025,2263.995,2293.606,2308.93,2329.609,2372.895,2387.209,,,,
Greenland,GRL,Europe & Central Asia,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Latin America & Caribbean,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,11297.54,11659.54,12860.88,13501.79,13700.85,14730.61,14547.17,15088.61,16826.36,17334.69,18650.37,19339.87,20518.74,20765.31,21211.6,22553.2,22576.02,24053.87,22850.42,24220.45,24324.54,24915.59,25622.22,26728.21,27934.31,30788.32,32340.52,31774.07,33757.11,35095.24,,,,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1985-2003. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
Guam,GUM,East Asia & Pacific,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,Latin America & Caribbean,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,2609.307,2784.833,2775.4,2913.05,3215.644,3613.919,3684.585,3901.069,3829.514,3954.863,3632.054,3680.414,3567.144,3776.826,3816.552,3452.958,3272.083,3579.964,3735.87,3759.243,3986.535,4084.715,4344.287,4507.129,4718.862,4846.081,4873.461,4975.085,5178.206,5680.19,,,,
High income,HIC,,,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,14201804.071,14179031.892,14214515.062,14290425.796,14512938.831,14716542.798,15116387.933,15355123.19,15323748.473,15364844.273,15678460.504,15724085.825,15614987.742,15780005.075,15978722.069,15984930.882,15974860.98,16160984.041,15850926.454,15060098.02,15601964.047,15516417.16,15393729.056,15417025.782,15286634.177,15260807.361,15149526.872,15145795.67,15204900.643,14884807.388,,,,"High income group aggregate. High-income economies are those in which 2021 GNI per capita was more than $13,205."
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying."
Honduras,HND,Latin America & Caribbean,Lower middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,11325.84,11440.6,11750.99,11554.72,12241.49,13005.94,12607.23,12631.28,12880.97,12184.86,12537.8,13417.02,13815.3,15635.37,16456.15,16402.32,17377.11,18086.02,18119.25,18052.21,18298.19,19419.08,19885.01,20409.44,20680.67,21233.4,21153.89,20928.61,22162.89,22388.7,,,,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1988-1989. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
Heavily indebted poor countries (HIPC),HPC,,,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,556717.427,575378.226,587274.337,590210.704,659690.355,672530.429,683443.653,701117.87,736071.366,742173.473,754103.233,751957.408,791636.96,823672.919,836616.825,877282.75,882654.436,910032.552,937516.859,951514.587,995441.583,1017711.819,1048112.195,1078282.399,1102303.798,1137284.176,1176067.188,1190776.516,1219954.196,1242089.045,,,,"The Heavily Indebted Poor Countries (HIPC) refer to countries that participated in the HIPC Initiative, launched in 1996 by the IMF and World Bank to reduce external debt burdens of the most heavily indebted poor countries at that time to sustainable levels. To date, the majority of the countries completed the program, receiving 76 billion in debt-service relief over time. For more details, visit https://www.imf.org/en/About/Factsheets/Sheets/2016/08/01/16/11/Debt-Relief-Under-the-Heavily-Indebted-Poor-Countries-Initiative.
Data are aggregates for HIPC."
Croatia,HRV,Europe & Central Asia,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,28572.3,22238.65,23235.94,24079.77,24161.84,25472.37,24636.49,26232.03,26591.66,26177.03,25211.63,26030.46,27077.41,28184.51,27910.33,27848.25,28577.18,30083.84,29263.99,26713.36,26153.77,25871.76,23893.47,22802.64,21997.32,22608.68,22670.63,23318.47,22212.91,22257.68,,,,
Haiti,HTI,Latin America & Caribbean,Lower middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,5331.763,5542.03,5947.441,5584.206,5073.097,5852.499,6150.086,6549.459,6700.131,6841.822,7322.144,7505.128,7797.484,7839.716,7718.485,7822.672,7877.414,8305.271,8328.765,8385.605,8938.757,9254.391,9014.772,9307.168,9726.114,10087.16,10368.92,10388.07,10397.23,10495.47,,,,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: September 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
Hungary,HUN,Europe & Central Asia,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,89095.13,84055.7,74165.21,74637.27,74363.41,72651.89,74868.36,73183.68,73114.11,73906.28,70920.45,73043.94,71423.33,74195.77,73079.43,72392.62,71664.69,69496.08,68129.64,62290.82,62249.92,61493.19,57614.53,55255.02,55545.83,58481.3,58875.59,60908.39,61005.79,60586.46,,,,
